,d,svr,en,rfr
287,1060,-4414.73275976229,-6231.184236731706,-4210.998281923031
288,1103,-3342.5434379409426,-6200.721729773375,-3310.7663852272344
289,1065,-4414.085423880727,-6276.221443075847,-4264.701237377781
290,1104,-3309.8822841146985,-6194.651054588484,-3279.1157353522913
291,1050,-4313.793075868036,-6119.592470851872,-4232.858059958609
292,1092,-3714.5250803920985,-6247.965666492316,-3693.2478779300845
293,1106,-3265.83743055786,-6192.176657836044,-3216.1846611839437
294,1102,-3379.2188153528773,-6204.38974497623,-3351.275590360474
295,1109,-3166.9124351376095,-6180.245649127305,-3088.429662831827
296,1105,-3282.938416202263,-6192.048785497347,-3245.1508828891583
297,1110,-3132.3715925401143,-6176.332026421518,-3054.6491124400113
298,1108,-3206.845269667436,-6186.843088293248,-3154.718010173425
299,792,-15462.561261894974,-3908.060255673231,-16783.21702729066
300,1074,-4272.315265376099,-6302.733458572226,-4175.601167473206
301,972,-6715.6638857794405,-6287.707574328978,-6739.184900051629
302,893,-14456.59623180232,-6965.751908295658,-14444.51620592927
303,1115,-2959.8095758719182,-6151.543174908321,-2873.608291822451
304,1111,-3102.19854718098,-6172.45174769221,-3011.666199811132
305,1113,-3020.1654033809737,-6164.093392699608,-2950.117980791285
306,1117,-2856.5560654484616,-6135.993278688144,-2769.4979850721024
307,1122,-2673.5665110850014,-6098.322190629142,-2573.3412194043854
308,1123,-2635.846904651154,-6091.085393228412,-2530.113885445563
309,1114,-3012.96216796491,-6160.6614053597,-2913.5180405329415
310,1126,-2492.753379643407,-6053.519863652624,-2402.0607895504186
311,1125,-2541.101817646896,-6067.393444355542,-2464.291450420725
312,1129,-2376.4567200456586,-5999.275169847986,-2279.912369174782
313,1131,-2259.1756978656285,-5951.476134686283,-2139.388441946599
314,1133,-2138.6776345975254,-5910.634185568455,-2049.9754914766904
315,1134,-2107.7858381569654,-5890.917684854348,-1983.370441115957
316,1127,-2437.132174226696,-6036.883153286671,-2375.6654257544133
317,1118,-2810.1221124764215,-6125.059779569604,-2728.1493454377896
318,1116,-2901.039474627404,-6145.548517415456,-2804.7245815569363
319,1121,-2711.8898633267895,-6107.00376148209,-2611.5270996063896
320,1140,-1692.384881617203,-5793.275183055064,-1580.0990930536625
321,1138,-1832.2435941214464,-5823.270938592814,-1725.901664128367
322,1139,-1760.5121587689869,-5807.488270024919,-1656.988381900955
323,1144,-1459.6592371370343,-5743.25104715873,-1359.4460157895815
324,1143,-1515.8447634616978,-5755.7631363110295,-1412.1671223111873
325,1136,-1971.9964028967115,-5854.26086276659,-1841.4371391181849
326,1145,-1401.6499998505606,-5729.71315886093,-1306.0987343754923
327,1146,-1330.180376974599,-5715.71193094218,-1250.2357426973117
328,1142,-1566.8765839153762,-5767.5030529427295,-1484.6209669420182
329,1141,-1629.0781173540354,-5781.2305251558355,-1538.7375369526476
330,1130,-2328.8994886281366,-5976.203955298975,-2221.903512065987
331,1128,-2398.2372520472522,-6018.203617763611,-2335.603923749953
332,1124,-2581.5129462813597,-6079.763780955207,-2473.8866738301303
333,1148,-1216.408501283996,-5685.176663285076,-1120.801664662155
334,1150,-1086.354092971549,-5659.070675710162,-1003.5588780059276
335,1149,-1149.3663005281132,-5670.854625683884,-1061.8605140978702
336,1135,-2030.7060153881005,-5870.142335320266,-1908.3388039403985
337,1112,-3049.0460113910076,-6167.800086996767,-2958.9856180228726
338,1120,-2744.1064332286815,-6113.52695959041,-2652.029896176909
339,1132,-2193.5290378014115,-5930.741046888695,-2091.5939652289594
340,1137,-1906.123016466839,-5837.908495679491,-1792.0631690707487
341,1154,-880.5937812626611,-5615.828413205602,-823.4379187232021
342,797,-15665.467671013637,-4052.8420736870744,-16958.03277803999
343,1157,-729.7782140057752,-5588.000002903787,-662.3319353195214
344,1158,-667.8048605016836,-5573.873336488875,-585.5708599731236
345,1156,-795.797354319766,-5597.9103651458645,-721.395936871521
346,1160,-530.1434868728923,-5542.869461198756,-438.27362775257734
347,1151,-1030.4924211305042,-5646.2279967780705,-947.6376347475868
348,1159,-600.1205194601124,-5559.2071480629365,-514.3526204294715
349,1161,-464.83809238274625,-5526.637424481885,-374.3824436362978
350,1162,-401.56530619036107,-5512.393133501088,-298.39716811990206
351,899,-13797.946453774097,-6994.407820776984,-13768.90374278966
352,1153,-932.3408048511029,-5625.099637158433,-861.7887843072833
353,1165,-251.78419744919324,-5483.806406505084,-135.7093347821915
354,1164,-298.2525431951326,-5492.837039867156,-191.02943500527954
355,1163,-354.0516568070992,-5501.244498252957,-243.3890603606751
356,1119,-2778.257117580391,-6119.72238146629,-2702.848763434953
357,948,-8419.42260309781,-6509.933050583455,-8447.947471903952
358,1152,-986.3242078758196,-5636.089234895124,-905.5185390479107
359,1166,-200.19722851779306,-5476.538789310663,-83.39769373653985
360,1167,-163.11029100091878,-5469.3367259603865,-37.839424480906246
361,1169,-71.30207845912423,-5451.585558416035,43.17048845030945
362,1172,62.536253231994124,-5424.936920200842,178.3617329568683
363,1175,184.29635088053192,-5412.356537378895,330.0784309129108
364,1176,223.5534719767454,-5408.001593878653,388.2304910078931
365,1168,-113.36753643614975,-5461.873532479565,12.254208549058603
366,1173,108.99585279348798,-5419.687069045991,251.0595150503059
367,1177,268.17022283986194,-5401.523338863738,443.3690295821325
368,1174,147.88761118410798,-5415.878446517461,280.6375780507203
369,1170,-30.392622359503775,-5441.836020279327,99.96838836079792
370,1182,493.1482402278883,-5370.212638969106,618.7321758653816
371,1058,-4371.620529898675,-6205.944892676389,-4163.674881151482
372,1179,354.19585895442583,-5387.450552742016,508.44394273725993
373,1181,451.994671894013,-5375.324968626315,585.3092664155358
374,1180,404.989738647439,-5380.655317934965,534.6567512340175
375,869,-16071.121322081111,-6397.020756195747,-16921.80619258124
376,1183,538.6584711281066,-5363.779410888213,660.9595254941846
377,1185,582.3912741511346,-5357.828775284106,723.6746328618947
378,1184,563.7051623357024,-5359.69543880405,720.1183187717656
379,1187,641.1914490996321,-5355.965532205473,782.8346689925843
380,1186,613.764212690982,-5356.519753162415,766.7108451467612
381,1188,658.3836730021965,-5356.930841905571,802.6128056106514
382,1192,765.3372623191705,-5363.2182583009035,896.6205502952043
383,1190,708.3763441458516,-5358.335647526927,856.1249076573862
384,1191,740.5170250312152,-5360.603458215948,872.6997885713901
385,1193,798.9335295356885,-5363.840930292542,931.881270979137
386,1194,821.5477159430887,-5365.52733170707,962.7856211787669
387,1195,830.8810977833863,-5367.643532008506,977.2373888343866
388,1196,852.7408023897864,-5369.8098392301035,1011.3264648881704
389,1155,-835.5510574953746,-5607.059666211901,-782.4613364547675
390,1178,308.9888583616457,-5395.587650814894,459.8210132077629
391,1197,875.4446585786545,-5369.742467842845,1018.9899077919297
392,1189,690.4300623900168,-5356.044788247493,827.8231007647965
393,1024,-4768.152074459451,-6077.731483569814,-4794.316429949488
394,1199,926.3340775274983,-5376.271187734051,1059.9430908044924
395,1206,1016.9958761496766,-5412.121820244737,1160.8953256644145
